[01/23] מצנח_מ01  (elapsed 0s)
    round 4/8 ok  (va=209c vb=209c mod=152c)
    round 5/8 ok  (va=220c vb=209c mod=137c)
    round 6/8 ok  (va=220c vb=209c mod=108c)
    round 7/8 ok  (va=180c vb=153c mod=103c)
    round 8/8 ok  (va=260c vb=160c mod=250c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_רתמה_מ04.json
[09/23] רובה_חבלים_מ04  (elapsed 526s)
    round 1/8 ok  (va=267c vb=281c mod=170c)
    round 2/8 ok  (va=305c vb=279c mod=99c)
    round 3/8 ok  (va=226c vb=296c mod=111c)
    round 4/8 ok  (va=230c vb=307c mod=144c)
    round 5/8 ok  (va=230c vb=296c mod=152c)
    round 6/8 ok  (va=230c vb=306c mod=100c)
    round 7/8 ok  (va=230c vb=298c mod=128c)
    round 8/8 ok  (va=182c vb=265c mod=267c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_רובה_חבלים_מ04.json
[10/23] רשת_מ05  (elapsed 585s)
    round 1/8 ok  (va=183c vb=262c mod=176c)
    round 2/8 ok  (va=234c vb=255c mod=91c)
    round 3/8 ok  (va=185c vb=235c mod=113c)
    round 4/8 ok  (va=210c vb=235c mod=139c)
    round 5/8 ok  (va=221c vb=235c mod=120c)
    round 6/8 ok  (va=221c vb=316c mod=84c)
    round 7/8 ok  (va=221c vb=332c mod=99c)
    round 8/8 ok  (va=228c vb=295c mod=265c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_רשת_מ05.json
[11/23] לפיד_מ05  (elapsed 646s)
    round 1/8 ok  (va=338c vb=340c mod=108c)
    round 2/8 ok  (va=387c vb=297c mod=151c)
    round 3/8 ok  (va=411c vb=266c mod=104c)
    round 4/8 ok  (va=520c vb=375c mod=216c)
    round 5/8 ok  (va=488c vb=388c mod=174c)
    round 6/8 ok  (va=472c vb=399c mod=209c)
    round 7/8 ok  (va=400c vb=366c mod=186c)
    round 8/8 ok  (va=469c vb=414c mod=658c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_לפיד_מ05.json
[12/23] אופניים_מ06  (elapsed 727s)
    round 1/8 ok  (va=250c vb=299c mod=195c)
    round 2/8 ok  (va=208c vb=261c mod=102c)
    round 3/8 ok  (va=291c vb=393c mod=155c)
    round 4/8 ok  (va=242c vb=360c mod=171c)
    round 5/8 ok  (va=284c vb=391c mod=104c)
    round 6/8 ok  (va=270c vb=324c mod=147c)
    round 7/8 ok  (va=281c vb=387c mod=198c)
    round 8/8 ok  (va=277c vb=299c mod=241c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_אופניים_מ06.json
[13/23] פריסקופ_מ07  (elapsed 800s)
    round 1/8 ok  (va=301c vb=335c mod=142c)
    round 2/8 ok  (va=311c vb=331c mod=203c)
    round 3/8 ok  (va=315c vb=325c mod=223c)
    round 4/8 ok  (va=313c vb=380c mod=168c)
    round 5/8 ok  (va=313c vb=269c mod=254c)
    round 6/8 ok  (va=313c vb=231c mod=192c)
    round 7/8 ok  (va=313c vb=239c mod=168c)
    round 8/8 ok  (va=301c vb=296c mod=262c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_פריסקופ_מ07.json
[14/23] לום_מ07  (elapsed 869s)
    round 1/8 ok  (va=360c vb=346c mod=169c)
    round 2/8 ok  (va=348c vb=305c mod=99c)
    round 3/8 ok  (va=363c vb=347c mod=120c)
    round 4/8 ok  (va=322c vb=396c mod=98c)
    round 5/8 ok  (va=432c vb=391c mod=136c)
    round 6/8 ok  (va=432c vb=410c mod=169c)
    round 7/8 ok  (va=432c vb=421c mod=97c)
    round 8/8 ok  (va=323c vb=393c mod=313c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_לום_מ07.json
[15/23] סולם_חבלים_מ08  (elapsed 938s)
    round 1/8 ok  (va=315c vb=216c mod=120c)
    round 2/8 ok  (va=263c vb=268c mod=133c)
    round 3/8 ok  (va=290c vb=284c mod=121c)
    round 4/8 ok  (va=282c vb=330c mod=127c)
    round 5/8 ok  (va=324c vb=312c mod=117c)
    round 6/8 ok  (va=324c vb=296c mod=90c)
    round 7/8 ok  (va=324c vb=326c mod=108c)
    round 8/8 ok  (va=328c vb=284c mod=325c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_סולם_חבלים_מ08.json
[16/23] טפרי_טיפוס_מ08  (elapsed 1001s)
    round 1/8 ok  (va=301c vb=258c mod=160c)
    round 2/8 ok  (va=341c vb=277c mod=96c)
    round 3/8 ok  (va=339c vb=332c mod=99c)
    round 4/8 ok  (va=253c vb=295c mod=200c)
    round 5/8 ok  (va=309c vb=328c mod=118c)
    round 6/8 ok  (va=130c vb=414c mod=159c)
    round 7/8 ok  (va=130c vb=316c mod=150c)
    round 8/8 ok  (va=155c vb=359c mod=284c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_טפרי_טיפוס_מ08.json
[17/23] רב_כלי_מ09  (elapsed 1066s)
    round 1/8 ok  (va=235c vb=308c mod=181c)
    round 2/8 ok  (va=317c vb=330c mod=162c)
    round 3/8 ok  (va=326c vb=307c mod=125c)
    round 4/8 ok  (va=378c vb=338c mod=181c)
    round 5/8 ok  (va=308c vb=317c mod=171c)
    round 6/8 ok  (va=322c vb=308c mod=134c)
    round 7/8 ok  (va=318c vb=308c mod=102c)
    round 8/8 ok  (va=258c vb=326c mod=248c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_רב_כלי_מ09.json
[18/23] מצלמה_זעירה_מ10  (elapsed 1129s)
    round 1/8 ok  (va=234c vb=393c mod=207c)
    round 2/8 ok  (va=396c vb=459c mod=271c)
    round 3/8 ok  (va=363c vb=466c mod=252c)
    round 4/8 ok  (va=330c vb=479c mod=232c)
    round 5/8 ok  (va=330c vb=537c mod=212c)
    round 6/8 ok  (va=346c vb=545c mod=221c)
    round 7/8 ok  (va=370c vb=554c mod=186c)
    round 8/8 ok  (va=342c vb=504c mod=515c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_מצלמה_זעירה_מ10.json
[19/23] בנגי_מ11  (elapsed 1251s)
    round 1/8 ok  (va=223c vb=404c mod=200c)
    round 2/8 ok  (va=254c vb=416c mod=184c)
    round 3/8 ok  (va=274c vb=364c mod=176c)
    round 4/8 ok  (va=301c vb=408c mod=196c)
    round 5/8 ok  (va=278c vb=483c mod=190c)
    round 6/8 ok  (va=264c vb=488c mod=217c)
    round 7/8 ok  (va=286c vb=459c mod=260c)
    round 8/8 ok  (va=508c vb=646c mod=575c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_בנגי_מ11.json
[20/23] מצפן_מ13  (elapsed 1355s)
    round 1/8 ok  (va=479c vb=368c mod=133c)
    round 2/8 ok  (va=478c vb=299c mod=184c)
    round 3/8 ok  (va=373c vb=310c mod=115c)
    round 4/8 ok  (va=365c vb=320c mod=147c)
    round 5/8 ok  (va=364c vb=224c mod=109c)
    round 6/8 ok  (va=370c vb=224c mod=111c)
    round 7/8 ok  (va=370c vb=224c mod=107c)
    round 8/8 ok  (va=211c vb=224c mod=273c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_מצפן_מ13.json
[21/23] רחפן_מ13  (elapsed 1419s)
    round 1/8 ok  (va=222c vb=207c mod=118c)
    round 2/8 ok  (va=322c vb=272c mod=101c)
    round 3/8 ok  (va=298c vb=327c mod=157c)
    round 4/8 ok  (va=310c vb=353c mod=180c)
    round 5/8 ok  (va=311c vb=287c mod=158c)
    round 6/8 ok  (va=311c vb=314c mod=148c)
    round 7/8 ok  (va=311c vb=315c mod=157c)
    round 8/8 ok  (va=311c vb=317c mod=335c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_רחפן_מ13.json
[22/23] תיבה_מ14  (elapsed 1491s)
    round 1/8 ok  (va=452c vb=326c mod=177c)
    round 2/8 ok  (va=259c vb=259c mod=207c)
    round 3/8 ok  (va=357c vb=309c mod=137c)
    round 4/8 ok  (va=455c vb=327c mod=150c)
    round 5/8 ok  (va=455c vb=287c mod=113c)
    round 6/8 ok  (va=455c vb=287c mod=165c)
    round 7/8 ok  (va=242c vb=283c mod=112c)
    round 8/8 ok  (va=241c vb=287c mod=252c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_תיבה_מ14.json
[23/23] דגל_סיום_מ15  (elapsed 1566s)
    round 1/8 ok  (va=240c vb=202c mod=109c)
    round 2/8 ok  (va=432c vb=362c mod=245c)
    round 3/8 ok  (va=397c vb=464c mod=201c)
    round 4/8 ok  (va=698c vb=563c mod=181c)
    round 5/8 ok  (va=757c vb=609c mod=249c)
    round 6/8 ok  (va=806c vb=478c mod=275c)
    round 7/8 ok  (va=815c vb=592c mod=190c)
    round 8/8 ok  (va=852c vb=401c mod=311c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_דגל_סיום_מ15.json

=== ROUND 2 SUMMARY ===
elapsed: 1680s
total re-debated: 23/23
STILL flagged: 3
  - לפיד_מ05
  - מצלמה_זעירה_מ10
  - בנגי_מ11
cleared (unflagged now): 20
  - מצנח_מ01  (fix → pass)
  - כנפיים_מ01  (fix → pass)
  - ברזנט_מ02  (fix → pass)
  - פטיש_מ02  (fix → pass)
  - מפה_מ03  (fix → pass)
  - משקפת_מ03  (fix → pass)
  - מפתח_מ03  (fix → pass)
  - רתמה_מ04  (fix → pass)
  - רובה_חבלים_מ04  (fix → pass)
  - רשת_מ05  (fix → pass)
  - אופניים_מ06  (fix → pass)
  - פריסקופ_מ07  (fix → pass)
  - לום_מ07  (fix → pass)
  - סולם_חבלים_מ08  (fix → pass)
  - טפרי_טיפוס_מ08  (fix → pass)
  - רב_כלי_מ09  (fix → pass)
  - מצפן_מ13  (fix → pass)
  - רחפן_מ13  (fix → pass)
  - תיבה_מ14  (fix → pass)
  - דגל_סיום_מ15  (fix → pass)

full summary: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\_summary.json
